10/09/2017 10:34:36 - MonitoramentoSensores onCreate
10/09/2017 10:34:36 - re-register sensor listener
10/09/2017 10:38:34 - MonitoramentoSensores onCreate
10/09/2017 10:38:34 - re-register sensor listener
10/09/2017 10:40:11 - PSH Accelerometer accuracy changed: 3
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2353596; Y: 0.098066494; Z: 9.738003
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2157463; Y: 0.049033247; Z: 9.728196
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2549729; Y: 0.0588399; Z: 9.787037
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.20593965; Y: 0.049033247; Z: 9.747809
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2157463; Y: 0.0392266; Z: 9.787037
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.24516624; Y: 0.088259846; Z: 9.747809
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2549729; Y: 0.088259846; Z: 9.747809
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2157463; Y: 0.098066494; Z: 9.698776
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.24516624; Y: 0.12748645; Z: 9.747809
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.28439283; Y: 0.06864655; Z: 9.708583
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.22555295; Y: 0.0784532; Z: 9.669356
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2157463; Y: 0.10787315; Z: 9.68897
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.26477954; Y: 0.06864655; Z: 9.80665
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2353596; Y: 0.10787315; Z: 9.728196
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.22555295; Y: 0.1372931; Z: 9.77723
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.22555295; Y: 0.098066494; Z: 9.708583
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.22555295; Y: 0.088259846; Z: 9.747809
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.24516624; Y: 0.088259846; Z: 9.787037
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.24516624; Y: 0.049033247; Z: 9.7183895
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2353596; Y: 0.0784532; Z: 9.728196
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2549729; Y: 0.0784532; Z: 9.77723
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2353596; Y: 0.098066494; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2745862; Y: 0.088259846; Z: 9.747809
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.24516624; Y: 0.098066494; Z: 9.698776
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2353596; Y: 0.0784532; Z: 9.757616
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2549729; Y: 0.06864655; Z: 9.77723
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.22555295; Y: 0.088259846; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2353596; Y: 0.10787315; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2549729; Y: 0.0784532; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.22555295; Y: 0.06864655; Z: 9.787037
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.22555295; Y: 0.0588399; Z: 9.787037
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2549729; Y: 0.10787315; Z: 9.826263
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.24516624; Y: 0.098066494; Z: 9.698776
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.24516624; Y: 0.098066494; Z: 9.796844
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.24516624; Y: 0.088259846; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2157463; Y: 0.0784532; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2549729; Y: 0.0588399; Z: 9.747809
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.20593965; Y: 0.0784532; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.22555295; Y: 0.06864655; Z: 9.767424
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2353596; Y: 0.0784532; Z: 9.767424
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2549729; Y: 0.06864655; Z: 9.7183895
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.26477954; Y: 0.0588399; Z: 9.77723
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2353596; Y: 0.06864655; Z: 9.738003
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.20593965; Y: 0.088259846; Z: 9.77723
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.22555295; Y: 0.06864655; Z: 9.728196
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.2745862; Y: 0.0784532; Z: 9.708583
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.20593965; Y: 0.049033247; Z: 9.747809
10/09/2017 10:40:40 - Log acelerômetro: Sun Sep 10 10:40:40 BRT 2017 -  X: 0.26477954; Y: 0.088259846; Z: 9.845877
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.24516624; Y: 0.1176798; Z: 9.86549
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.20593965; Y: 0.0588399; Z: 9.826263
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.26477954; Y: 0.088259846; Z: 9.757616
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2157463; Y: 0.06864655; Z: 9.738003
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.24516624; Y: 0.088259846; Z: 9.796844
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.18632634; Y: 0.0784532; Z: 9.77723
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2353596; Y: 0.06864655; Z: 9.738003
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.22555295; Y: 0.10787315; Z: 9.639936
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.24516624; Y: 0.088259846; Z: 9.7183895
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.24516624; Y: 0.0784532; Z: 9.738003
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2353596; Y: 0.02941995; Z: 9.77723
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.26477954; Y: 0.0784532; Z: 9.738003
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.22555295; Y: 0.0784532; Z: 9.757616
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2549729; Y: 0.06864655; Z: 9.796844
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2353596; Y: 0.088259846; Z: 9.757616
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2157463; Y: 0.088259846; Z: 9.738003
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2353596; Y: 0.06864655; Z: 9.826263
10/09/2017 10:40:41 - Log acelerômetro: Sun Sep 10 10:40:41 BRT 2017 -  X: 0.2549729; Y: 0.0784532; Z: 9.7183895
